,,,,,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name,Sensor_Package_Name
,,,,,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200,AirBeam3:40915110d200
,,,,,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name,Sensor_Name
,,,,,AirBeam3-F,AirBeam3-PM1,AirBeam3-PM10,AirBeam3-PM2.5,AirBeam3-RH
,,,,,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type,Measurement_Type
,,,,,Temperature,Particulate Matter,Particulate Matter,Particulate Matter,Humidity
,,,,,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units,Measurement_Units
,,,,,degrees Fahrenheit,micrograms per cubic meter,micrograms per cubic meter,micrograms per cubic meter,percent
ObjectID,Session_Name,Timestamp,Latitude,Longitude,1:Measurement_Value,2:Measurement_Value,3:Measurement_Value,4:Measurement_Value,5:Measurement_Value
1,BHR04Friday,2024-03-22T15:55:10.000,39.193182392,-84.46397805,65.0,93.0,208.0,114.0,47.0
2,BHR04Friday,2024-03-22T15:55:15.000,39.193196846,-84.464002301,65.0,124.8,290.4,154.6,49.8
3,BHR04Friday,2024-03-22T15:55:20.000,39.193188769,-84.463993074,65.4,120.4,278.2,148.6,49.6
4,BHR04Friday,2024-03-22T15:55:25.000,39.193188769,-84.463993074,66.0,112.8,258.0,138.4,48.0
5,BHR04Friday,2024-03-22T15:55:30.000,39.193188769,-84.463993074,66.0,103.8,235.6,127.0,46.2
6,BHR04Friday,2024-03-22T15:55:35.000,39.193188769,-84.463993074,66.0,106.6,242.8,130.8,45.2
7,BHR04Friday,2024-03-22T15:55:40.000,39.193188769,-84.463993074,66.0,108.2,246.8,133.2,45.0
8,BHR04Friday,2024-03-22T15:55:45.000,39.193188769,-84.463993074,66.0,104.2,236.6,127.6,44.0
9,BHR04Friday,2024-03-22T15:55:50.000,39.193188769,-84.463993074,66.0,99.8,225.4,122.2,44.0
10,BHR04Friday,2024-03-22T15:55:55.000,39.193188769,-84.463993074,66.0,101.4,229.0,124.2,44.0
11,BHR04Friday,2024-03-22T15:56:00.000,39.193188769,-84.463993074,66.0,99.6,225.0,122.0,43.0
12,BHR04Friday,2024-03-22T15:56:05.000,39.193188769,-84.463993074,66.0,95.6,214.4,116.8,43.0
13,BHR04Friday,2024-03-22T15:56:10.000,39.193188769,-84.463993074,66.0,84.0,184.6,101.8,42.0
14,BHR04Friday,2024-03-22T15:56:15.000,39.193188769,-84.463993074,66.0,83.4,183.6,101.2,41.0
15,BHR04Friday,2024-03-22T15:56:20.000,39.193188769,-84.463993074,66.0,82.4,180.6,99.8,40.4
16,BHR04Friday,2024-03-22T15:56:25.000,39.193188769,-84.463993074,66.0,86.8,192.6,105.8,40.0
17,BHR04Friday,2024-03-22T15:56:30.000,39.193188769,-84.463993074,66.0,92.4,205.6,112.2,40.0
18,BHR04Friday,2024-03-22T15:56:35.000,39.193188769,-84.463993074,66.0,91.4,203.6,111.4,40.0
19,BHR04Friday,2024-03-22T15:56:40.000,39.193188769,-84.463993074,66.0,90.8,201.8,110.4,40.0
20,BHR04Friday,2024-03-22T15:56:45.000,39.193188769,-84.463993074,66.2,89.6,198.6,109.0,40.4
21,BHR04Friday,2024-03-22T15:56:50.000,39.193188769,-84.463993074,67.0,87.6,194.2,106.6,41.0
22,BHR04Friday,2024-03-22T15:56:55.000,39.193188769,-84.463993074,67.0,88.2,196.0,107.8,41.0
23,BHR04Friday,2024-03-22T15:57:00.000,39.193188769,-84.463993074,67.0,86.2,191.2,105.0,40.0
24,BHR04Friday,2024-03-22T15:57:05.000,39.193188769,-84.463993074,67.0,76.8,166.4,92.6,40.0
25,BHR04Friday,2024-03-22T15:57:10.000,39.193188769,-84.463993074,67.0,72.6,155.6,87.4,40.0
26,BHR04Friday,2024-03-22T15:57:15.000,39.193188769,-84.463993074,67.0,72.0,154.0,86.4,40.0
27,BHR04Friday,2024-03-22T15:57:20.000,39.193188769,-84.463993074,67.0,71.6,153.2,86.0,40.0
28,BHR04Friday,2024-03-22T15:57:25.000,39.193188769,-84.463993074,67.0,75.2,162.4,90.6,40.0
29,BHR04Friday,2024-03-22T15:57:30.000,39.193188769,-84.463993074,67.0,81.2,177.8,98.4,40.0
30,BHR04Friday,2024-03-22T15:57:35.000,39.193188769,-84.463993074,67.0,81.4,178.6,98.8,40.0
31,BHR04Friday,2024-03-22T15:57:40.000,39.193188769,-84.463993074,67.0,81.2,177.8,98.6,39.8
32,BHR04Friday,2024-03-22T15:57:45.000,39.193188769,-84.463993074,67.0,85.2,188.2,103.8,39.2
33,BHR04Friday,2024-03-22T15:57:50.000,39.193188769,-84.463993074,67.8,87.2,193.8,106.6,39.0
34,BHR04Friday,2024-03-22T15:57:55.000,39.193188769,-84.463993074,68.0,88.8,197.4,108.6,39.0
35,BHR04Friday,2024-03-22T15:58:00.000,39.193188769,-84.463993074,68.0,86.0,189.8,104.6,39.0
36,BHR04Friday,2024-03-22T15:58:05.000,39.193188769,-84.463993074,68.0,79.8,174.2,96.6,39.0
37,BHR04Friday,2024-03-22T15:58:10.000,39.193188769,-84.463993074,68.0,85.4,188.4,103.6,39.0
38,BHR04Friday,2024-03-22T15:58:15.000,39.193188769,-84.463993074,68.0,98.6,222.0,120.2,39.0
39,BHR04Friday,2024-03-22T15:58:20.000,39.193188769,-84.463993074,68.0,99.6,224.4,121.6,39.0
40,BHR04Friday,2024-03-22T15:58:25.000,39.193188769,-84.463993074,68.0,89.8,199.6,109.2,39.0
41,BHR04Friday,2024-03-22T15:58:30.000,39.193188769,-84.463993074,68.0,79.0,172.0,95.2,39.0
42,BHR04Friday,2024-03-22T15:58:35.000,39.193188769,-84.463993074,68.0,75.2,162.4,90.6,38.0
43,BHR04Friday,2024-03-22T15:58:40.000,39.193188769,-84.463993074,68.0,80.2,175.2,97.0,38.0
44,BHR04Friday,2024-03-22T15:58:45.000,39.193188769,-84.463993074,68.0,80.0,175.0,96.8,38.0
45,BHR04Friday,2024-03-22T15:58:50.000,39.193188769,-84.463993074,68.0,72.8,156.2,87.4,38.0
46,BHR04Friday,2024-03-22T15:58:55.000,39.193188769,-84.463993074,69.0,75.0,162.2,90.6,38.0
47,BHR04Friday,2024-03-22T15:59:00.000,39.193188769,-84.463993074,69.0,82.6,181.4,100.4,38.0
48,BHR04Friday,2024-03-22T15:59:05.000,39.193188769,-84.463993074,69.0,81.0,177.4,98.2,38.0
49,BHR04Friday,2024-03-22T15:59:10.000,39.193188769,-84.463993074,69.0,77.4,168.2,93.8,38.0
50,BHR04Friday,2024-03-22T15:59:15.000,39.193188769,-84.463993074,69.0,77.8,169.2,94.4,38.0
51,BHR04Friday,2024-03-22T15:59:20.000,39.193188769,-84.463993074,69.0,80.8,176.4,97.8,38.0
52,BHR04Friday,2024-03-22T15:59:25.000,39.193188769,-84.463993074,69.0,90.4,200.2,109.6,38.0
53,BHR04Friday,2024-03-22T15:59:30.000,39.193188769,-84.463993074,69.0,97.0,219.0,119.0,38.0
54,BHR04Friday,2024-03-22T15:59:35.000,39.193188769,-84.463993074,69.0,99.4,224.2,121.8,38.0
55,BHR04Friday,2024-03-22T15:59:40.000,39.193188769,-84.463993074,69.0,94.6,211.8,115.4,38.0
56,BHR04Friday,2024-03-22T15:59:45.000,39.193188769,-84.463993074,69.0,85.6,189.0,104.2,38.0
57,BHR04Friday,2024-03-22T15:59:50.000,39.193188769,-84.463993074,69.0,80.2,174.6,96.4,38.0
58,BHR04Friday,2024-03-22T15:59:55.000,39.193188769,-84.463993074,69.0,78.2,170.0,94.4,38.0
59,BHR04Friday,2024-03-22T16:00:00.000,39.193188769,-84.463993074,69.2,77.8,169.4,94.6,37.8
60,BHR04Friday,2024-03-22T16:00:05.000,39.193188769,-84.463993074,70.0,80.8,176.6,97.8,37.0
61,BHR04Friday,2024-03-22T16:00:10.000,39.193188769,-84.463993074,70.0,85.0,187.8,103.2,37.0
62,BHR04Friday,2024-03-22T16:00:15.000,39.193188769,-84.463993074,70.0,87.6,194.2,106.6,37.0
63,BHR04Friday,2024-03-22T16:00:20.000,39.193188769,-84.463993074,70.0,88.2,195.6,107.4,37.0
64,BHR04Friday,2024-03-22T16:00:25.000,39.193188769,-84.463993074,70.0,83.4,183.6,101.2,37.0
65,BHR04Friday,2024-03-22T16:00:30.000,39.193188769,-84.463993074,70.0,70.8,151.6,85.4,36.2
66,BHR04Friday,2024-03-22T16:00:35.000,39.193188769,-84.463993074,70.0,66.4,139.4,79.0,36.0
67,BHR04Friday,2024-03-22T16:00:40.000,39.193188769,-84.463993074,70.0,66.4,139.2,78.8,36.0
68,BHR04Friday,2024-03-22T16:00:45.000,39.193188769,-84.463993074,70.0,66.2,138.8,78.6,36.0
69,BHR04Friday,2024-03-22T16:00:50.000,39.193188769,-84.463993074,70.0,70.2,149.0,84.2,36.0
70,BHR04Friday,2024-03-22T16:00:55.000,39.193188769,-84.463993074,70.0,72.8,156.6,88.0,36.0
71,BHR04Friday,2024-03-22T16:01:00.000,39.193188769,-84.463993074,70.0,72.4,155.6,87.4,36.0
72,BHR04Friday,2024-03-22T16:01:05.000,39.193188769,-84.463993074,70.0,72.2,154.2,86.6,36.0
73,BHR04Friday,2024-03-22T16:01:10.000,39.193188769,-84.463993074,70.0,70.0,150.0,84.0,35.4
74,BHR04Friday,2024-03-22T16:01:15.000,39.193188769,-84.463993074,70.2,68.8,145.8,82.8,35.0
75,BHR04Friday,2024-03-22T16:01:20.000,39.193188769,-84.463993074,70.8,66.0,138.6,78.8,35.0
76,BHR04Friday,2024-03-22T16:01:25.000,39.193188769,-84.463993074,71.0,60.8,125.4,72.2,35.0
77,BHR04Friday,2024-03-22T16:01:30.000,39.193188769,-84.463993074,71.0,61.2,126.4,72.6,35.0
78,BHR04Friday,2024-03-22T16:01:35.000,39.193188769,-84.463993074,71.0,57.6,118.0,68.6,35.0
79,BHR04Friday,2024-03-22T16:01:40.000,39.193188769,-84.463993074,71.0,59.8,122.8,71.0,34.4
80,BHR04Friday,2024-03-22T16:01:45.000,39.193188769,-84.463993074,71.0,58.2,119.4,69.2,34.0
81,BHR04Friday,2024-03-22T16:01:50.000,39.193188769,-84.463993074,71.0,56.0,112.8,66.2,34.0
82,BHR04Friday,2024-03-22T16:01:55.000,39.193188769,-84.463993074,71.0,62.4,129.8,74.4,34.0
83,BHR04Friday,2024-03-22T16:02:00.000,39.193188769,-84.463993074,71.0,59.8,122.8,71.0,34.0
84,BHR04Friday,2024-03-22T16:02:05.000,39.193188769,-84.463993074,71.0,58.6,119.6,69.6,34.0
85,BHR04Friday,2024-03-22T16:02:10.000,39.193188769,-84.463993074,71.0,61.2,126.6,72.8,34.0
86,BHR04Friday,2024-03-22T16:02:15.000,39.193188769,-84.463993074,71.0,57.4,116.4,68.0,34.0
87,BHR04Friday,2024-03-22T16:02:20.000,39.193188769,-84.463993074,71.0,53.0,105.2,62.2,34.0
88,BHR04Friday,2024-03-22T16:02:25.000,39.193188769,-84.463993074,71.0,54.6,109.8,64.4,33.8
89,BHR04Friday,2024-03-22T16:02:30.000,39.193188769,-84.463993074,71.0,62.4,129.6,74.2,34.0
90,BHR04Friday,2024-03-22T16:02:35.000,39.193188769,-84.463993074,71.0,78.4,170.6,95.0,34.0
91,BHR04Friday,2024-03-22T16:02:40.000,39.193188769,-84.463993074,71.0,83.4,182.6,101.2,34.0
92,BHR04Friday,2024-03-22T16:02:45.000,39.193188769,-84.463993074,71.6,79.4,173.0,96.0,34.0
93,BHR04Friday,2024-03-22T16:02:50.000,39.193188769,-84.463993074,72.0,72.6,155.6,87.0,34.0
94,BHR04Friday,2024-03-22T16:02:55.000,39.193188769,-84.463993074,72.0,57.6,118.0,68.6,34.0
95,BHR04Friday,2024-03-22T16:03:00.000,39.193188769,-84.463993074,72.0,55.6,111.6,65.6,33.6
96,BHR04Friday,2024-03-22T16:03:05.000,39.193188769,-84.463993074,72.0,67.0,141.6,80.0,34.0
97,BHR04Friday,2024-03-22T16:03:10.000,39.193188769,-84.463993074,72.0,83.6,184.0,101.4,34.0
98,BHR04Friday,2024-03-22T16:03:15.000,39.193188769,-84.463993074,72.0,93.6,209.0,114.0,34.0
99,BHR04Friday,2024-03-22T16:03:20.000,39.193188769,-84.463993074,72.0,91.4,203.4,111.0,34.0
100,BHR04Friday,2024-03-22T16:03:25.000,39.193188769,-84.463993074,72.0,81.2,177.4,98.2,34.0
101,BHR04Friday,2024-03-22T16:03:30.000,39.193188769,-84.463993074,72.0,78.8,171.6,95.0,34.0
102,BHR04Friday,2024-03-22T16:03:35.000,39.193188769,-84.463993074,72.0,78.4,170.8,95.2,34.2
103,BHR04Friday,2024-03-22T16:03:40.000,39.193188769,-84.463993074,72.0,83.4,183.6,101.2,35.0
104,BHR04Friday,2024-03-22T16:03:45.000,39.193188769,-84.463993074,72.0,81.0,177.4,98.0,35.0
105,BHR04Friday,2024-03-22T16:03:50.000,39.193188769,-84.463993074,72.0,76.6,165.8,92.2,35.0
106,BHR04Friday,2024-03-22T16:03:55.000,39.193188769,-84.463993074,72.0,77.2,167.2,92.8,35.0
107,BHR04Friday,2024-03-22T16:04:00.000,39.193188769,-84.463993074,72.0,82.8,182.2,100.4,35.0
108,BHR04Friday,2024-03-22T16:04:05.000,39.193188769,-84.463993074,72.0,83.2,182.4,100.8,34.2
109,BHR04Friday,2024-03-22T16:04:10.000,39.193188769,-84.463993074,72.0,84.8,186.8,103.2,34.0
110,BHR04Friday,2024-03-22T16:04:15.000,39.193188769,-84.463993074,72.4,85.6,189.2,104.0,34.0
111,BHR04Friday,2024-03-22T16:04:20.000,39.193188769,-84.463993074,72.8,92.0,205.0,112.0,34.0
112,BHR04Friday,2024-03-22T16:04:25.000,39.193188769,-84.463993074,73.0,96.0,214.8,117.0,35.0
113,BHR04Friday,2024-03-22T16:04:30.000,39.193188769,-84.463993074,73.0,87.4,193.4,106.0,34.8
114,BHR04Friday,2024-03-22T16:04:35.000,39.193188769,-84.463993074,73.0,81.4,178.8,98.8,34.0
115,BHR04Friday,2024-03-22T16:04:40.000,39.193188769,-84.463993074,73.0,82.4,180.8,99.8,34.0
116,BHR04Friday,2024-03-22T16:04:45.000,39.193188769,-84.463993074,73.0,85.4,188.6,103.6,34.0
117,BHR04Friday,2024-03-22T16:04:50.000,39.193188769,-84.463993074,73.0,85.0,188.0,103.0,34.0
118,BHR04Friday,2024-03-22T16:04:55.000,39.193188769,-84.463993074,73.0,94.0,210.2,114.8,34.0
119,BHR04Friday,2024-03-22T16:05:00.000,39.193188769,-84.463993074,73.0,93.4,208.2,113.6,34.0
120,BHR04Friday,2024-03-22T16:05:05.000,39.193188769,-84.463993074,73.0,83.8,184.6,101.8,33.4
121,BHR04Friday,2024-03-22T16:05:10.000,39.193188769,-84.463993074,73.0,81.0,177.2,98.2,33.0
122,BHR04Friday,2024-03-22T16:05:15.000,39.193188769,-84.463993074,73.0,76.0,164.6,91.8,33.0
123,BHR04Friday,2024-03-22T16:05:20.000,39.193188769,-84.463993074,73.0,70.8,150.4,84.6,33.0
124,BHR04Friday,2024-03-22T16:05:25.000,39.193188769,-84.463993074,73.0,69.8,148.0,83.6,33.0
125,BHR04Friday,2024-03-22T16:05:30.000,39.193188769,-84.463993074,73.0,69.0,146.4,82.6,33.0
126,BHR04Friday,2024-03-22T16:05:35.000,39.193188769,-84.463993074,73.0,76.4,165.6,92.4,33.0
127,BHR04Friday,2024-03-22T16:05:40.000,39.193188769,-84.463993074,73.0,79.6,173.6,96.4,33.0
128,BHR04Friday,2024-03-22T16:05:45.000,39.193188769,-84.463993074,73.0,75.4,163.0,91.0,33.0
129,BHR04Friday,2024-03-22T16:05:50.000,39.193188769,-84.463993074,73.0,78.6,170.8,94.8,33.0
130,BHR04Friday,2024-03-22T16:05:55.000,39.193188769,-84.463993074,73.0,81.2,178.0,98.4,33.0
131,BHR04Friday,2024-03-22T16:06:00.000,39.193188769,-84.463993074,73.0,76.0,164.4,91.6,33.0
132,BHR04Friday,2024-03-22T16:06:05.000,39.193188769,-84.463993074,73.2,76.0,164.4,91.6,32.8
133,BHR04Friday,2024-03-22T16:06:10.000,39.193188769,-84.463993074,73.8,76.4,165.4,92.4,32.0
134,BHR04Friday,2024-03-22T16:06:15.000,39.193188769,-84.463993074,74.0,67.2,141.4,80.2,32.0
135,BHR04Friday,2024-03-22T16:06:20.000,39.193188769,-84.463993074,74.0,62.2,128.6,73.8,32.0
136,BHR04Friday,2024-03-22T16:06:25.000,39.193188769,-84.463993074,74.0,66.8,140.2,79.6,32.0
137,BHR04Friday,2024-03-22T16:06:30.000,39.193188769,-84.463993074,74.0,80.8,176.6,98.0,32.0
138,BHR04Friday,2024-03-22T16:06:35.000,39.193188769,-84.463993074,74.0,75.4,162.4,90.4,32.0
139,BHR04Friday,2024-03-22T16:06:40.000,39.193188769,-84.463993074,74.0,59.0,120.8,70.0,32.0
140,BHR04Friday,2024-03-22T16:06:45.000,39.193188769,-84.463993074,74.0,70.2,149.8,84.2,32.0
141,BHR04Friday,2024-03-22T16:06:50.000,39.193188769,-84.463993074,74.0,82.8,182.6,100.6,32.0
142,BHR04Friday,2024-03-22T16:06:55.000,39.193188769,-84.463993074,74.0,79.4,173.0,96.0,32.0
143,BHR04Friday,2024-03-22T16:07:00.000,39.193188769,-84.463993074,74.0,72.0,154.2,86.6,32.0
144,BHR04Friday,2024-03-22T16:07:05.000,39.193188769,-84.463993074,74.0,60.0,123.2,71.2,31.4
145,BHR04Friday,2024-03-22T16:07:10.000,39.193188769,-84.463993074,74.0,52.6,103.2,61.4,31.0
146,BHR04Friday,2024-03-22T16:07:15.000,39.193188769,-84.463993074,74.0,44.8,83.8,51.4,31.0
147,BHR04Friday,2024-03-22T16:07:20.000,39.193188769,-84.463993074,74.0,49.2,95.2,57.0,31.0
148,BHR04Friday,2024-03-22T16:07:25.000,39.193188769,-84.463993074,74.0,58.8,120.6,69.8,31.0
149,BHR04Friday,2024-03-22T16:07:30.000,39.193188769,-84.463993074,74.0,74.2,160.0,89.6,31.0
150,BHR04Friday,2024-03-22T16:07:35.000,39.193188769,-84.463993074,74.0,81.2,178.0,98.4,31.0
151,BHR04Friday,2024-03-22T16:07:40.000,39.193188769,-84.463993074,74.0,84.2,185.8,102.0,32.0
152,BHR04Friday,2024-03-22T16:07:45.000,39.193188769,-84.463993074,74.0,77.0,166.8,92.8,32.0
153,BHR04Friday,2024-03-22T16:07:50.000,39.193188769,-84.463993074,74.0,67.6,142.6,80.8,31.4
154,BHR04Friday,2024-03-22T16:07:55.000,39.193188769,-84.463993074,74.0,65.0,136.0,77.0,31.0
155,BHR04Friday,2024-03-22T16:08:00.000,39.193188769,-84.463993074,74.0,68.2,144.2,81.4,31.0
156,BHR04Friday,2024-03-22T16:08:05.000,39.193188769,-84.463993074,74.0,75.6,163.2,91.0,31.0
157,BHR04Friday,2024-03-22T16:08:10.000,39.193188769,-84.463993074,74.0,83.2,182.8,101.0,31.0
158,BHR04Friday,2024-03-22T16:08:15.000,39.193188769,-84.463993074,74.0,83.6,184.2,101.6,31.0
159,BHR04Friday,2024-03-22T16:08:20.000,39.193188769,-84.463993074,74.6,77.8,169.0,94.0,31.0
160,BHR04Friday,2024-03-22T16:08:25.000,39.193188769,-84.463993074,75.0,76.6,166.0,92.4,31.0
161,BHR04Friday,2024-03-22T16:08:30.000,39.193188769,-84.463993074,75.0,83.6,184.2,101.4,31.0
162,BHR04Friday,2024-03-22T16:08:35.000,39.193188769,-84.463993074,75.0,85.4,188.4,103.8,31.0
163,BHR04Friday,2024-03-22T16:08:40.000,39.193188769,-84.463993074,75.0,70.8,151.2,85.0,31.0
164,BHR04Friday,2024-03-22T16:08:45.000,39.193188769,-84.463993074,75.0,67.0,141.2,80.2,31.0
165,BHR04Friday,2024-03-22T16:08:50.000,39.193188769,-84.463993074,75.0,71.2,152.2,85.6,31.0
166,BHR04Friday,2024-03-22T16:08:55.000,39.193188769,-84.463993074,75.0,66.8,140.8,79.8,31.0
167,BHR04Friday,2024-03-22T16:09:00.000,39.193188769,-84.463993074,75.0,52.6,104.2,61.6,31.0
168,BHR04Friday,2024-03-22T16:09:05.000,39.193188769,-84.463993074,75.0,61.8,128.2,73.6,31.0
169,BHR04Friday,2024-03-22T16:09:10.000,39.193188769,-84.463993074,75.0,74.4,160.2,89.6,31.0
170,BHR04Friday,2024-03-22T16:09:15.000,39.193188769,-84.463993074,75.0,76.2,165.4,92.6,31.0
171,BHR04Friday,2024-03-22T16:09:20.000,39.193188769,-84.463993074,75.0,69.4,147.2,83.4,31.0
172,BHR04Friday,2024-03-22T16:09:25.000,39.193188769,-84.463993074,75.0,66.2,139.2,79.2,31.0
173,BHR04Friday,2024-03-22T16:09:30.000,39.193188769,-84.463993074,75.0,71.6,152.4,85.8,31.0
174,BHR04Friday,2024-03-22T16:09:35.000,39.193188769,-84.463993074,75.0,77.4,168.0,93.2,31.8
175,BHR04Friday,2024-03-22T16:09:40.000,39.193188769,-84.463993074,75.0,84.8,187.2,102.8,31.2
176,BHR04Friday,2024-03-22T16:09:45.000,39.193208256,-84.46394565,75.0,81.4,178.0,98.6,31.0
177,BHR04Friday,2024-03-22T16:09:50.000,39.193193022,-84.463960264,75.0,62.2,129.8,74.2,30.6
178,BHR04Friday,2024-03-22T16:09:55.000,39.193193022,-84.463960264,75.0,58.0,118.8,68.8,30.0
179,BHR04Friday,2024-03-22T16:10:00.000,39.193193022,-84.463960264,75.0,63.8,132.8,75.8,30.0
180,BHR04Friday,2024-03-22T16:10:05.000,39.193193022,-84.463960264,75.0,69.0,146.4,82.6,30.0
181,BHR04Friday,2024-03-22T16:10:10.000,39.193193022,-84.463960264,75.0,65.2,136.2,77.6,30.0
182,BHR04Friday,2024-03-22T16:10:15.000,39.193193022,-84.463960264,75.0,60.8,125.4,72.2,30.0
183,BHR04Friday,2024-03-22T16:10:20.000,39.193193022,-84.463960264,75.0,59.0,120.0,69.6,30.0
184,BHR04Friday,2024-03-22T16:10:25.000,39.193193022,-84.463960264,75.0,49.6,96.6,57.4,30.0
185,BHR04Friday,2024-03-22T16:10:30.000,39.193193022,-84.463960264,75.0,50.6,99.2,58.8,30.0
186,BHR04Friday,2024-03-22T16:10:35.000,39.193193022,-84.463960264,75.0,54.6,109.0,64.4,30.0
187,BHR04Friday,2024-03-22T16:10:40.000,39.193193022,-84.463960264,75.0,53.4,105.2,62.6,30.0
188,BHR04Friday,2024-03-22T16:10:45.000,39.193193022,-84.463960264,75.0,53.0,104.0,62.0,30.0
189,BHR04Friday,2024-03-22T16:10:50.000,39.193193022,-84.463960264,75.2,53.0,104.0,62.0,30.0
190,BHR04Friday,2024-03-22T16:10:55.000,39.193193022,-84.463960264,76.0,50.0,98.0,58.0,30.0
191,BHR04Friday,2024-03-22T16:11:00.000,39.193193022,-84.463960264,76.0,50.6,99.2,58.8,30.0
192,BHR04Friday,2024-03-22T16:11:05.000,39.193193022,-84.463960264,76.0,54.2,107.6,63.8,30.0
193,BHR04Friday,2024-03-22T16:11:10.000,39.193193022,-84.463960264,76.0,54.6,108.8,64.4,30.0
194,BHR04Friday,2024-03-22T16:11:15.000,39.193193022,-84.463960264,76.0,52.4,103.4,61.4,29.2
195,BHR04Friday,2024-03-22T16:11:20.000,39.193193022,-84.463960264,76.0,49.4,95.0,57.0,29.0
196,BHR04Friday,2024-03-22T16:11:25.000,39.193193022,-84.463960264,76.0,52.6,103.4,61.6,29.0
197,BHR04Friday,2024-03-22T16:11:30.000,39.193193022,-84.463960264,76.0,52.4,102.8,61.2,29.0
198,BHR04Friday,2024-03-22T16:11:35.000,39.193193022,-84.463960264,76.0,50.6,99.2,58.8,29.0
199,BHR04Friday,2024-03-22T16:11:40.000,39.193193022,-84.463960264,76.0,53.4,105.2,62.6,29.0
200,BHR04Friday,2024-03-22T16:11:45.000,39.193193022,-84.463960264,76.0,43.6,80.8,49.8,29.0
201,BHR04Friday,2024-03-22T16:11:50.000,39.193193022,-84.463960264,76.0,27.2,40.0,29.4,29.4
202,BHR04Friday,2024-03-22T16:11:55.000,39.193193022,-84.463960264,76.0,38.4,68.0,43.4,30.0
203,BHR04Friday,2024-03-22T16:12:00.000,39.193193022,-84.463960264,76.0,52.0,102.8,60.8,29.0
204,BHR04Friday,2024-03-22T16:12:05.000,39.193193022,-84.463960264,76.0,61.0,126.2,72.6,29.0
205,BHR04Friday,2024-03-22T16:12:10.000,39.193193022,-84.463960264,76.0,65.4,137.2,77.8,29.0
206,BHR04Friday,2024-03-22T16:12:15.000,39.193193022,-84.463960264,76.0,65.2,136.4,77.4,29.0
207,BHR04Friday,2024-03-22T16:12:20.000,39.193193022,-84.463960264,76.0,60.4,125.0,72.0,29.0
208,BHR04Friday,2024-03-22T16:12:25.000,39.193193022,-84.463960264,76.0,53.8,106.4,63.2,29.0
209,BHR04Friday,2024-03-22T16:12:30.000,39.193193022,-84.463960264,76.0,50.6,99.2,58.8,29.0
210,BHR04Friday,2024-03-22T16:12:35.000,39.193193022,-84.463960264,76.0,48.8,93.8,56.2,29.0
211,BHR04Friday,2024-03-22T16:12:40.000,39.193193022,-84.463960264,76.0,47.4,89.8,54.4,29.0
212,BHR04Friday,2024-03-22T16:12:45.000,39.193193022,-84.463960264,76.0,49.2,95.2,56.8,29.0
213,BHR04Friday,2024-03-22T16:12:50.000,39.193193022,-84.463960264,76.0,49.8,96.4,57.6,29.0
214,BHR04Friday,2024-03-22T16:12:55.000,39.193193022,-84.463960264,76.0,50.8,99.8,59.2,29.0
215,BHR04Friday,2024-03-22T16:13:00.000,39.193193022,-84.463960264,76.0,50.0,98.0,58.0,28.2
216,BHR04Friday,2024-03-22T16:13:05.000,39.193193022,-84.463960264,76.0,49.6,96.6,57.4,28.0
217,BHR04Friday,2024-03-22T16:13:10.000,39.193193022,-84.463960264,76.0,49.4,96.0,57.2,28.0
218,BHR04Friday,2024-03-22T16:13:15.000,39.193193022,-84.463960264,76.0,48.8,93.8,56.2,28.0
219,BHR04Friday,2024-03-22T16:13:20.000,39.193193022,-84.463960264,76.0,48.4,92.4,55.6,28.0
220,BHR04Friday,2024-03-22T16:13:25.000,39.193193022,-84.463960264,76.0,49.2,95.2,56.8,28.0
221,BHR04Friday,2024-03-22T16:13:30.000,39.193193022,-84.463960264,76.0,47.0,89.2,54.2,28.0
222,BHR04Friday,2024-03-22T16:13:35.000,39.193193022,-84.463960264,76.0,49.2,95.2,56.8,28.0
223,BHR04Friday,2024-03-22T16:13:40.000,39.193193022,-84.463960264,76.2,48.0,91.0,55.0,28.0
224,BHR04Friday,2024-03-22T16:13:45.000,39.193193022,-84.463960264,76.2,45.6,86.2,52.6,28.2
225,BHR04Friday,2024-03-22T16:13:50.000,39.193193022,-84.463960264,76.8,43.6,80.8,49.8,29.0
226,BHR04Friday,2024-03-22T16:13:55.000,39.193193022,-84.463960264,76.4,48.6,94.0,56.2,29.0
227,BHR04Friday,2024-03-22T16:14:00.000,39.193193022,-84.463960264,77.0,48.4,92.4,55.6,28.2
228,BHR04Friday,2024-03-22T16:14:05.000,39.193193022,-84.463960264,77.0,51.2,100.4,59.6,28.0
229,BHR04Friday,2024-03-22T16:14:10.000,39.193193022,-84.463960264,77.0,44.4,82.6,50.8,28.0
230,BHR04Friday,2024-03-22T16:14:15.000,39.193193022,-84.463960264,77.0,44.0,82.0,50.4,28.0
231,BHR04Friday,2024-03-22T16:14:20.000,39.193193022,-84.463960264,77.0,45.8,86.4,52.6,28.0
232,BHR04Friday,2024-03-22T16:14:25.000,39.193193022,-84.463960264,77.0,52.4,102.8,61.2,28.0
